Date,Close,High,Low,Open,Volume,RSI,BB_Lower,BB_Middle,BB_Upper,SMA_20,SMA_50,SMA_200,ATR
2022-10-17,140.06118774414062,140.5430964053638,137.95648408162927,138.74329241493984,85250900,43.75175854217036,131.84397975568604,143.04265670776368,154.24133365984133,143.04265670776368,153.320791015625,155.10097606658937,4.716039343451895
2022-10-18,141.37904357910156,144.28038442851894,138.29083411442357,143.09035010046446,99136600,45.7377968606435,132.45161176187563,142.39600067138673,152.34038958089783,142.39600067138673,152.90535766601562,154.9382635116577,4.807004446044789
2022-10-19,141.48724365234375,142.55926212019432,139.16616774549112,139.35303637893844,61758300,45.906672383627196,132.81895430522783,141.91113204956054,151.00330979389324,141.91113204956054,152.4911047363281,154.75434825897216,4.706010835229989
2022-10-20,141.02499389648438,143.4837601022304,140.29719369702107,140.6611013003117,64522000,45.25862838778449,133.19488640854632,141.4513427734375,149.70779913832865,141.4513427734375,151.98263153076172,154.57943447113038,4.597479056010808
2022-10-21,144.8409881591797,145.41142365797057,140.29717849836038,140.51355110159543,86548600,51.36262784170495,133.42658879033783,141.29594802856445,149.16530726679107,141.29594802856445,151.5652313232422,154.44700946807862,4.634390931359881
2022-10-24,146.98504638671875,147.75218027161432,143.59195189473937,144.76232705447245,75981900,54.436789323180584,133.574759947503,141.2310363769531,148.88731280640323,141.2310363769531,151.11970336914064,154.33960475921631,4.6005221682609765
2022-10-25,149.827392578125,149.97492757312142,146.89654709772452,147.61450271725704,74732300,58.207952335599025,133.48062912178395,141.2595588684082,149.03848861503243,141.2595588684082,150.70958160400392,154.24557918548584,4.491797734182586
2022-10-26,146.8866729736328,149.4831290241877,145.5982671053076,148.47011872840665,88194300,53.2932779790154,133.52973438716378,141.23546295166017,148.94119151615655,141.23546295166017,150.24379211425781,154.13675205230712,4.4730354254014975
2022-10-27,142.4117431640625,146.5916457586151,141.75279561471663,145.62781359762897,109180200,46.815587435941566,133.64510376405755,141.34955062866212,149.05399749326668,141.34955062866212,149.65860565185548,153.99139713287354,4.520238430926561
2022-10-28,153.17129516601562,154.90226106166642,145.3819261249116,145.75564835945892,164762400,59.54732443866021,133.35552908056624,142.21208648681642,151.0686438930666,142.21208648681642,149.29647857666015,153.89763622283937,5.089544222179679
2022-10-31,150.81085205078125,151.69601672276417,149.41427490924212,150.63382812065376,97943200,56.359777454255415,133.19839073335206,142.7476043701172,152.29681800688232,142.7476043701172,148.9388751220703,153.8084299850464,4.994363921073634
2022-11-01,148.1652069091797,152.88603979429132,146.67028825113368,152.52214729303347,80379300,52.939236810629836,133.1387724191523,142.97135009765626,152.8039277761602,142.97135009765626,148.60605499267578,153.70168590545654,5.0816059092830805
2022-11-02,142.637939453125,149.66017491618842,142.60843546015093,146.49328294195223,93604600,46.57892357304387,133.08165688766437,142.9039794921875,152.7263020967106,142.9039794921875,148.1693780517578,153.5833195877075,5.222329756823166
2022-11-03,136.58938598632812,140.44472962212055,136.4615253404881,139.7169294177421,97918500,40.80186733360123,132.382145429908,142.58188095092774,152.78161647194747,142.58188095092774,147.60582916259764,153.45219387054442,5.290478649621431
2022-11-04,136.32337951660156,140.5496142487395,132.3828281448323,139.97823249599168,140814800,40.56359209491391,132.15367462719902,142.50907974243165,152.86448485766428,142.50907974243165,146.98778472900392,153.32816135406495,5.49592921073659
2022-11-07,136.8553466796875,137.08192417351185,133.65364870551915,135.07224959765693,83374600,41.30183739361089,131.971400724237,142.44664764404297,152.92189456384895,142.44664764404297,146.50646545410157,153.21707286834717,5.3482396385484945
2022-11-08,137.42674255371094,139.3280515614897,135.44662070693448,138.32322168629616,89908500,42.133245432525726,132.0849326333125,142.48359756469728,152.88226249608206,142.48359756469728,146.08063415527343,153.11271022796632,5.243467569944098
2022-11-09,132.8655548095703,136.49087039963513,132.58971737719733,136.44161049413725,74917800,37.55984680917652,131.4485449215548,142.3239616394043,153.1993783572538,142.3239616394043,145.61216491699219,152.99455265045165,5.214435967170106
2022-11-10,144.6871795654297,144.6871795654297,137.4267190059668,139.14086413842483,118854000,52.07855439780658,131.6338833898294,142.52674102783203,153.41959866583466,142.52674102783203,145.41337036132813,152.9359439468384,5.686378072461787
2022-11-11,147.4751434326172,147.78053378231226,142.22435652176193,143.65281852957958,93979700,54.75076041945555,132.41898350117077,143.0956169128418,153.7722503245128,143.0956169128418,145.25577972412108,152.89357677459716,5.677078013572284
2022-11-14,146.0762481689453,148.04652398997993,145.23887493220099,146.7559957323241,73374100,53.14928528888549,132.73973012835208,143.39636993408203,154.05300973981198,143.39636993408203,145.1125018310547,152.78980632781983,5.472118784111682
2022-11-15,147.8101043701172,151.3073474058049,146.35210428518187,149.95771310615612,89868300,54.90974189478809,132.93679707092863,143.71792297363282,154.499048876337,143.71792297363282,145.0290786743164,152.6729124069214,5.454903100735243
2022-11-16,146.57867431640625,147.64262514508096,145.10096733747125,146.91363265596118,64218300,53.375710907886656,133.17365000059178,143.97249450683594,154.7713390130801,143.97249450683594,144.89289825439454,152.55069385528566,5.258776937888704
2022-11-17,148.47999572753906,149.22869517163417,143.9779079987764,144.25374542723313,80389400,55.44541203157883,133.46474674082938,144.34524459838866,155.22574245594794,144.34524459838866,144.8242495727539,152.43195865631102,5.258206240345625
2022-11-18,149.04153442382812,150.43058273283654,147.74115996689468,150.04637948055915,74829600,56.06572056308069,133.48410833101997,144.5552719116211,155.62643549222224,144.5552719116211,144.70959228515625,152.33042881011963,5.074721694258089
2022-11-21,145.81028747558594,148.13521403601513,145.52460403537026,147.9283434491039,58724100,51.612772255418975,133.46516440210604,144.49653396606445,155.52790353002285,144.49653396606445,144.41110900878905,152.2141646194458,4.963450879830053
2022-11-22,147.94801330566406,148.1844518302865,144.7463148991296,145.92849249022925,51804100,54.20421880227211,133.52346922153612,144.4025650024414,155.2816607833467,144.4025650024414,144.3440170288086,152.11216876983642,4.85449987724917
2022-11-23,148.82481384277344,149.5735133563615,147.1205141770319,147.22887996484198,58301400,55.26253721070627,133.49973297678952,144.49947204589844,155.49921111500737,144.49947204589844,144.26554626464844,151.99901279449463,4.682964103978999
2022-11-25,145.90875244140625,146.66731271624482,144.93346065947097,146.10577698458263,35195900,51.0381264276261,133.70174483998153,144.67432250976563,155.64690017954973,144.67432250976563,144.1865838623047,151.86416645050048,4.626420463992311
2022-11-28,142.0765838623047,144.46061568789466,141.24907166473017,142.98290889279264,69246000,46.055591919776354,133.8202435246232,144.11958694458008,154.41893036453695,144.11958694458008,144.0638269042969,151.73055782318116,4.628796200721647
2022-11-29,139.07191467285156,142.6578160052338,138.26410941652946,142.14554009146167,83763800,42.54828036891956,133.49074574727908,143.5326400756836,153.5745344040881,143.5326400756836,143.8066241455078,151.598989982605,4.612004084861717
2022-11-30,145.8299560546875,146.50970358247017,138.46112907886217,139.2984872397453,111380900,51.4954091634256,133.5392128740053,143.41587753295897,153.29254219191264,143.41587753295897,143.63697998046874,151.50003551483155,4.85747341020318
2022-12-01,146.1057891845703,146.9136094206591,144.43105787971572,146.00728442076144,71250400,51.82517907638145,133.65174857928727,143.58927001953126,153.52679145977524,143.58927001953126,143.5354034423828,151.3832875442505,4.687836127592149
2022-12-02,145.61325073242188,145.80042936443078,143.48534896644694,143.79075438457457,65447400,51.15636370215369,134.60862063117034,144.04046325683595,153.47230588250156,144.04046325683595,143.44325286865234,151.26525379180907,4.540164986161307
2022-12-05,144.45079040527344,148.6770258303521,143.60357112015112,145.57384712908555,68826400,49.531671476540424,135.70486007557233,144.44683380126952,153.1888075269667,144.44683380126952,143.373291015625,151.15940349578858,4.578257110514268
